"id","submitdate","lastpage","startlanguage","LOSUJ","IgnacySlawekEkrPow","JanekEkrPow","WiktorEkrPow","StandardEkrPow","INSTRUKCJA","INSTRUKCJAZWYKLA","IntHARM","IntHELP","WoOHARM","WoOHELP","IOHARM","IOMHELP","helpWYM","harmWYM","licznikISTN","helpZROZ","harmZROZ","licznikZROZ","helpBEZSENS","harmBEZSENS","licznikSENS","HE1","HE2","HA1","HA2","HARMPRIMENV","HARMBISENV","HELPPRIMENV","HELPBISENV","HARMPRIMSTARVE","HARMBISSTARVE","HELPPRIMSTARVE","HELPBISSTARVE","Sadzi2wdrozenieHARM","Sadzi2wdrozenieHELP","Sadzi3stansieHARM","Sadzi3stansieHELP","ZROZMYSLEMHARM","ZROZMYSLEMHELP","UMYSLNIEHARM","UMYSLNIEHELP","RESPHARM","RESPHELP","RESPHARM2","RESPHELP2","G","Y","E","E[other]","F","H","IgnacySlawekEkrPoz","JanekEkrPoz","WiktorEkrPoz","StandardEkrPoz","BiKEkrPoz"
"1","","2","pl","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1980-01-01 00:00:00","21","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","2","M","1993.0000000000","A3","","A1","Y","","","","",""
"3","","1","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","1","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1980-01-01 00:00:00","21","pl","1","","","","","","","N","","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","1978.0000000000","A4","","A2","N","","","","",""
"6","1980-01-01 00:00:00","21","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","","","","","","","","","","","M","1987.0000000000","A4","","A1","N","","","","",""
"7","","1","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","10","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A5","A1","","","","","","","","","","","","","","","","","","","","","F","1995.0000000000","A3","","A2","Y","","","","",""
"10","","2","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A5","A1","","","","","","","","","","","","","","","","","","","","","F","1993.0000000000","A3","","A2","Y","","","","",""
"12","1980-01-01 00:00:00","21","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","","","M","1997.0000000000","A3","","A2","Y","","","","",""
"13","1980-01-01 00:00:00","21","pl","4","","","","","","","","","","","","","","Y","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","F","1997.0000000000","A3","","A2","N","","","","",""
"14","1980-01-01 00:00:00","21","pl","7","","","","","","","","","","","","","","","","","","","Y","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","5","","","F","1995.0000000000","A3","","A2","N","","","","",""
"15","1980-01-01 00:00:00","21","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","","","M","1995.0000000000","A3","","A2","N","","","","",""
"16","","1","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","1980-01-01 00:00:00","21","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","N","","","","","","","","","","","","","","","M","1992.0000000000","A4","","A1","Y","","","","",""
"18","","2","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","6","pl","3","","","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","1","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","1","","F","1992.0000000000","A4","","A2","Y","","","","",""
"23","","1","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","1","pl","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","1980-01-01 00:00:00","21","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","4","","","F","1998.0000000000","A1","","A2","N","","","","",""
"27","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","1","pl","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","1980-01-01 00:00:00","21","pl","6","","","","","","","","","","","","","","","","","N","62.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1","","","","F","1993.0000000000","A3","","A2","N","","","","",""
"30","","1","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","1","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","1","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","1","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","","2","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","","1","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","1980-01-01 00:00:00","21","pl","1","","","","","","","Y","","Y","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","1992.0000000000","A4","","A2","N","","","","",""
"38","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","","1","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","","1","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","","1","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","","1","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","","1","pl","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","1980-01-01 00:00:00","21","pl","9","","","","","","","","","","","","","","","","","","","","","","A5","A3","","","","","","","","","","","","","","","","","","","","","","","M","1994.0000000000","A3","","A2","N","","","","",""
"45","","6","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","1980-01-01 00:00:00","21","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","N","","","","","","","","","","","","","","","F","1998.0000000000","A3","","A2","N","","","","",""
