"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","intentionality","obligation_know","obligation_exist"
"5",5,"1980-01-01 00:00:00",1,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Harm","Nie","Nie","Nie"
"21",21,"",2,NA,"",NA,"","","","","Help","0","0","0"
"24",24,"",2,NA,"",NA,"","","","","Help","0","0","0"
"25",25,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"37",37,"1980-01-01 00:00:00",1,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Nie"
"48",48,"",2,NA,"",NA,"","","","","Help","0","0","0"
"62",62,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"63",63,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"65",65,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1992,"Średnie","","Nie","Tak","Help","Nie","Nie","Nie"
"83",83,"",2,NA,"",NA,"","","","","Help","0","0","0"
"96",97,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"97",98,"1980-01-01 00:00:00",2,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"99",100,"",1,NA,"",NA,"","","","","Harm","Tak","0","0"
"100",101,"",2,NA,"",NA,"","","","","Help","Tak","0","0"
"101",102,"",1,NA,"",NA,"","","","","Harm","Nie","Tak","Tak"
"129",130,"",2,NA,"",NA,"","","","","Help","0","0","0"
"140",141,"",2,NA,"",NA,"","","","","Help","0","0","0"
"146",147,"",2,NA,"",NA,"","","","","Help","0","0","0"
"153",154,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"160",161,"1980-01-01 00:00:00",2,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"181",182,"",2,NA,"",NA,"","","","","Help","0","0","0"
"192",193,"",2,NA,"",NA,"","","","","Help","0","0","0"
"195",196,"1980-01-01 00:00:00",2,NA,"Kobieta",1997,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"198",199,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1992,"Średnie","","Tak","Nie","Harm","Tak","Nie","Nie"
"226",227,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"230",231,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Tak"
"264",271,"",2,NA,"",NA,"","","","","Help","Tak","Nie","Tak"
"267",274,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1985,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"298",305,"",2,NA,"",NA,"","","","","Help","0","0","0"
"302",309,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1973,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"313",320,"",2,NA,"",NA,"","","","","Help","0","0","0"
