"id","submitdate","lastpage","startlanguage","startdate","datestamp","INSTRUKCJA","LOSUJ","LOSUJV","SPECJALNIEHARM","SPECJALNIEHELP","SWIADOMIEHARM","SWIADOMIEHELP","CELOWOHARM","CELOWOHELP","UMYSLNIEHARM","UMYSLNIEHELP","BRAKHARM","BRAKHELP","CHCIALHARM","CHCIALHELP","ZROZMYSLEMHARM","ZROZMYSLEMHELP","ZAMIERZALHARM","ZAMIERZALHELP","WIEDZAHARM","WIEDZAHELP","RESPHARM","RESPHELP","G","Y","E","E[other]","F"
"1","2015-04-17 00:50:18","13","pl","2015-04-17 00:49:09","2015-04-17 00:50:18","","3","2","","","","","","N","","","","","","","","","","","","","","5","M","23.0000000000","A4","","A1"
"2","2015-04-17 00:51:24","13","pl","2015-04-17 00:49:46","2015-04-17 00:51:24","","6","1","","","","","","","","","","","Y","","","","","","","","1","","M","1992.0000000000","A4","","A2"
"3","2015-04-17 00:51:49","13","pl","2015-04-17 00:50:34","2015-04-17 00:51:49","","8","1","","","","","","","","","","","","","","","","","Y","","1","","M","1994.0000000000","A3","","A2"
"4","2015-04-17 00:52:47","13","pl","2015-04-17 00:51:04","2015-04-17 00:52:47","","7","1","","","","","","","","","","","","","","","N","","","","1","","M","1997.0000000000","A3","","A2"
"5","2015-04-17 00:53:19","13","pl","2015-04-17 00:51:05","2015-04-17 00:53:19","","1","1","Y","","","","","","","","","","","","","","","","","","1","","M","1992.0000000000","A3","","A2"
"6","","11","pl","2015-04-17 00:52:05","2015-04-17 00:52:20","","2","1","","","Y","","","","","","","","","","","","","","","","","","","","","",""
"7","2015-04-17 00:54:56","13","pl","2015-04-17 00:52:05","2015-04-17 00:54:56","","1","1","N","","","","","","","","","","","","","","","","","","1","","F","1997.0000000000","A3","","A2"
"8","","","pl","2015-04-17 00:52:26","2015-04-17 00:52:26","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","2015-04-17 00:53:41","13","pl","2015-04-17 00:52:40","2015-04-17 00:53:41","","2","1","","","Y","","","","","","","","","","","","","","","","2","","F","1992.0000000000","A3","","A2"
"10","2015-04-17 00:54:33","13","pl","2015-04-17 00:53:16","2015-04-17 00:54:33","","4","2","","","","","","","","Y","","","","","","","","","","","","1","M","1996.0000000000","A3","","A2"
"11","2015-04-17 00:54:32","13","pl","2015-04-17 00:53:21","2015-04-17 00:54:32","","1","2","","N","","","","","","","","","","","","","","","","","","2","F","21.0000000000","A3","","A2"
"13","2015-04-17 00:55:46","13","pl","2015-04-17 00:54:58","2015-04-17 00:55:46","","8","1","","","","","","","","","","","","","","","","","Y","","1","","M","1992.0000000000","A3","","A2"
"14","2015-04-17 00:57:22","13","pl","2015-04-17 00:56:01","2015-04-17 00:57:22","","3","1","","","","","N","","","","","","","","","","","","","","5","","M","1995.0000000000","A3","","A2"
"15","2015-04-17 01:00:05","13","pl","2015-04-17 00:57:28","2015-04-17 01:00:05","","4","1","","","","","","","N","","","","","","","","","","","","1","","F","1996.0000000000","A3","","A2"
"16","2015-04-17 00:59:55","13","pl","2015-04-17 00:58:14","2015-04-17 00:59:55","","2","1","","","Y","","","","","","","","","","","","","","","","1","","F","1994.0000000000","A3","","A2"
"17","2015-04-17 01:01:09","13","pl","2015-04-17 00:59:36","2015-04-17 01:01:09","","5","1","","","","","","","","","Y","","","","","","","","","","2","","F","1993.0000000000","A4","","A2"
"18","2015-04-17 01:02:26","13","pl","2015-04-17 01:01:03","2015-04-17 01:02:26","","4","1","","","","","","","N","","","","","","","","","","","","1","","F","1996.0000000000","A1","","A2"
"19","","11","pl","2015-04-17 01:01:33","2015-04-17 01:01:55","","6","2","","","","","","","","","","","","N","","","","","","","","","","","","",""
"20","2015-04-17 01:04:07","13","pl","2015-04-17 01:02:10","2015-04-17 01:04:07","","1","1","N","","","","","","","","","","","","","","","","","","2","","F","1995.0000000000","-oth-","Policealne","A2"
"21","2015-04-17 01:05:59","13","pl","2015-04-17 01:02:23","2015-04-17 01:05:59","","1","1","N","","","","","","","","","","","","","","","","","","1","","M","1998.0000000000","A1","","A2"
"22","","","pl","2015-04-17 01:02:57","2015-04-17 01:02:57","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","2015-04-17 01:11:43","13","pl","2015-04-17 01:10:17","2015-04-17 01:11:43","","3","1","","","","","Y","","","","","","","","","","","","","","1","","F","1994.0000000000","A3","","A2"
"24","2015-04-17 01:12:18","13","pl","2015-04-17 01:10:38","2015-04-17 01:12:18","","1","1","N","","","","","","","","","","","","","","","","","","1","","M","1984.0000000000","A4","","A2"
"25","2015-04-17 01:17:20","13","pl","2015-04-17 01:11:58","2015-04-17 01:17:20","","3","2","","","","","","Y","","","","","","","","","","","","","","5","F","1993.0000000000","A4","","A2"
"26","2015-04-17 01:13:30","13","pl","2015-04-17 01:12:40","2015-04-17 01:13:28","","1","1","Y","","","","","","","","","","","","","","","","","","1","","F","1995.0000000000","A3","","A2"
"27","","12","pl","2015-04-17 01:13:42","2015-04-17 01:14:23","","5","1","","","","","","","","","Y","","","","","","","","","","1","","F","","A4","","A2"
"28","2015-04-17 01:19:01","13","pl","2015-04-17 01:17:30","2015-04-17 01:19:01","","8","1","","","","","","","","","","","","","","","","","Y","","1","","F","1992.0000000000","A4","","A2"
"29","2015-04-17 01:18:57","13","pl","2015-04-17 01:17:39","2015-04-17 01:18:57","","1","2","","N","","","","","","","","","","","","","","","","","","5","F","20.0000000000","A3","","A2"
"30","2015-04-17 01:19:29","13","pl","2015-04-17 01:17:42","2015-04-17 01:19:29","","8","2","","","","","","","","","","","","","","","","","","Y","","5","F","1991.0000000000","A4","","A2"
"31","2015-04-17 01:23:22","13","pl","2015-04-17 01:19:49","2015-04-17 01:23:22","","9","1","","","","","","","","","","","","","N","","","","","","1","","F","1995.0000000000","-oth-","na drugim roku","A1"
"32","","8","pl","2015-04-17 01:21:57","2015-04-17 01:22:13","","9","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","11","pl","2015-04-17 01:22:13","2015-04-17 01:22:40","","5","1","","","","","","","","","Y","","","","","","","","","","","","","","","",""
"34","2015-04-17 01:31:57","13","pl","2015-04-17 01:30:07","2015-04-17 01:31:57","","6","2","","","","","","","","","","","","N","","","","","","","","2","M","1990.0000000000","A4","","A1"
"35","","12","pl","2015-04-17 01:31:51","2015-04-17 01:53:32","","5","1","","","","","","","","","Y","","","","","","","","","","2","","","","","","A2"
"36","2015-04-17 01:34:17","13","pl","2015-04-17 01:32:15","2015-04-17 01:34:17","","9","1","","","","","","","","","","","","","Y","","","","","","1","","F","1994.0000000000","A4","","A2"
"37","2015-04-17 01:37:05","13","pl","2015-04-17 01:35:44","2015-04-17 01:37:05","","5","2","","","","","","","","","","Y","","","","","","","","","","1","M","1994.0000000000","A3","","A2"
"38","2015-04-17 01:38:48","13","pl","2015-04-17 01:38:07","2015-04-17 01:38:48","","2","1","","","Y","","","","","","","","","","","","","","","","1","","M","1994.0000000000","A4","","A2"
