"id","submitdate","lastpage","startlanguage","startdate","datestamp","refurl","INSTRUKCJA","LOSUJ","PIERWSZE1[1]","PIERWSZE2[2]","PIERWSZE3[3]","PIERWSZE4[4]","PIERWSZE5[5]","PIERWSZE6[6]","PIERWSZE7[7]","PIERWSZE8[8]","PIERWSZE9[9]","PIERWSZE10[10]","PIERWSZE11[11]","PIERWSZE12[12]","PIERWSZE13[13]","PIERWSZE14[14]","PIERWSZE15[15]","PIERWSZE16[16]","PIERWSZE17[17]","PIERWSZE18[18]","PIERWSZE19[19]","PIERWSZE20[20]","PIERWSZE21[21]","PIERWSZE22[22]","PIERWSZE23[23]","PIERWSZE24[24]","DRUGIE1[1]","DRUGIE2[2]","DRUGIE3[3]","DRUGIE4[4]","DRUGIE5[5]","DRUGIE6[6]","DRUGIE7[7]","DRUGIE8[8]","DRUGIE9[9]","DRUGIE10[10]","DRUGIE11[11]","DRUGIE12[12]","DRUGIE13[13]","DRUGIE14[14]","DRUGIE15[15]","DRUGIE16[16]","DRUGIE17[17]","DRUGIE18[18]","DRUGIE19[19]","DRUGIE20[20]","DRUGIE21[21]","DRUGIE22[22]","DRUGIE23[23]","DRUGIE24[24]","TRZECIE8","TRZECIE9","TRZECIE11","TRZECIE12","TRZECIE14","TRZECIE15","TRZECIE17","TRZECIE18","TRZECIE20","TRZECIE21","TRZECIE23","TRZECIE24","CZWARTE9","CZWARTE8","CZWARTE3","CZWARTE14","CZWARTE15","CZWARTE17","CZWARTE18","CZWARTE20","CZWARTE21","CZWARTE23","CZWARTE24","CZWARTE2","CZWARTE5","CZWARTE6","CZWARTE11","CZWARTE12","PIATE20","PIATE21","PIATE23","PIATE24","G","Y","E","E[other]","F","H","interviewtime","groupTime212","INSTRUKCJATime","groupTime207","LOSUJTime","groupTime206","PIERWSZE1Time","PIERWSZE2Time","PIERWSZE3Time","PIERWSZE4Time","PIERWSZE5Time","PIERWSZE6Time","PIERWSZE7Time","PIERWSZE8Time","PIERWSZE9Time","PIERWSZE10Time","PIERWSZE11Time","PIERWSZE12Time","PIERWSZE13Time","PIERWSZE14Time","PIERWSZE15Time","PIERWSZE16Time","PIERWSZE17Time","PIERWSZE18Time","PIERWSZE19Time","PIERWSZE20Time","PIERWSZE21Time","PIERWSZE22Time","PIERWSZE23Time","PIERWSZE24Time","groupTime208","DRUGIE1Time","DRUGIE2Time","DRUGIE3Time","DRUGIE4Time","DRUGIE5Time","DRUGIE6Time","DRUGIE7Time","DRUGIE8Time","DRUGIE9Time","DRUGIE10Time","DRUGIE11Time","DRUGIE12Time","DRUGIE13Time","DRUGIE14Time","DRUGIE15Time","DRUGIE16Time","DRUGIE17Time","DRUGIE18Time","DRUGIE19Time","DRUGIE20Time","DRUGIE21Time","DRUGIE22Time","DRUGIE23Time","DRUGIE24Time","groupTime209","TRZECIE8Time","TRZECIE9Time","TRZECIE11Time","TRZECIE12Time","TRZECIE14Time","TRZECIE15Time","TRZECIE17Time","TRZECIE18Time","TRZECIE20Time","TRZECIE21Time","TRZECIE23Time","TRZECIE24Time","groupTime210","CZWARTE9Time","CZWARTE8Time","CZWARTE3Time","CZWARTE14Time","CZWARTE15Time","CZWARTE17Time","CZWARTE18Time","CZWARTE20Time","CZWARTE21Time","CZWARTE23Time","CZWARTE24Time","CZWARTE2Time","CZWARTE5Time","CZWARTE6Time","CZWARTE11Time","CZWARTE12Time","groupTime211","PIATE20Time","PIATE21Time","PIATE23Time","PIATE24Time","groupTime213","GTime","YTime","ETime","FTime","HTime"
"1","2015-10-27 22:42:13","8","pl","2015-10-27 22:40:26","2015-10-27 22:42:13","https://www.facebook.com","","1","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1998.0000000000","Podstawowe","","Nie","Tak","104.56","17.14","","","","35.75","","","","","","","","","","","","","","","","","","","","","","","","","29.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.87","","","","",""
"2","2015-10-28 08:15:58","8","pl","2015-10-28 08:14:13","2015-10-28 08:15:58","http://m.facebook.com","","16","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1992.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Tak","100.88","11.31","","","","25.82","","","","","","","","","","","","","","","","","","","","","","","","","39.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.12","","","","",""
"3","2015-10-28 08:22:00","8","pl","2015-10-28 08:15:32","2015-10-28 08:22:00","","","24","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","jest tylko w pewnym stopniu winą dozorcy.","","","","","","","","","nie jest winą mieszkańców.","Mężczyzna","1983.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Tak","385.26","12.38","","","","266.05","","","","","","","","","","","","","","","","","","","","","","","","","37.63","","","","","","","","","","","","","","","","","","","","","","","","","29.75","","","","","","","","","","","","","15.15","","","","","","","","","","","","","","","","","9.31","","","","","14.99","","","","",""
"4","2015-10-28 08:20:47","8","pl","2015-10-28 08:16:21","2015-10-28 08:20:47","http://m.facebook.com/","","24","","","","","","","","","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","nie jest winą dozorcy.","","","","","","","","","jest całkowicie winą mieszkańców.","Kobieta","1979.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Tak","263.57","19.85","","","","93.96","","","","","","","","","","","","","","","","","","","","","","","","","48.63","","","","","","","","","","","","","","","","","","","","","","","","","9.13","","","","","","","","","","","","","25.92","","","","","","","","","","","","","","","","","9.94","","","","","56.14","","","","",""
"7","2015-10-28 08:37:44","8","pl","2015-10-28 08:33:18","2015-10-28 08:37:44","","","6","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","jest  w znacznym stopniu winą dozorcy.","","","","","","","Kobieta","1982.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","263.43","17.86","","","","100.66","","","","","","","","","","","","","","","","","","","","","","","","","39.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.67","","","","","","","","","","","","","","","","","","","","","","76.82","","","","",""
"9","2015-10-28 08:52:52","8","pl","2015-10-28 08:50:59","2015-10-28 08:52:52","https://www.facebook.com/","","15","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","jest tylko w pewnym stopniu winą dozorcy.","","","","","","","","","","","","","","","","Mężczyzna","1992.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","109.6","10.75","","","","39.3","","","","","","","","","","","","","","","","","","","","","","","","","22.75","","","","","","","","","","","","","","","","","","","","","","","","","9.42","","","","","","","","","","","","","8.81","","","","","","","","","","","","","","","","","","","","","","18.57","","","","",""
"10","2015-10-28 08:55:09","8","pl","2015-10-28 08:52:39","2015-10-28 08:55:09","http://www.facebook.com/l.php?u=http%3A%2F%2Fsokratyzer.pl%2Flimesurvey%2Findex.php%2F729544&h=gAQHgeRzS&s=1&enc=AZNErA2UWzrJoQ24_Na4eM5wPMANG80OVSQ7DSC-IzlQAm2XmWg3sBzK9jwrNbQnnPNqMOGKVbAl-dAWg-yaXhyhCzNHn8WF52C71_ILs33iAw","","13","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","2001.0000000000","Podstawowe","","Nie","Nie","147.18","16.61","","","","80.07","","","","","","","","","","","","","","","","","","","","","","","","","13.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.09","","","","",""
"11","2015-10-28 08:55:18","8","pl","2015-10-28 08:52:44","2015-10-28 08:55:18","http://m.facebook.com","","8","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","nie jest zasługą pani Malinowskiej.","","","","","","","","","","","","","jest całkowicie zasługą dozorcy.","","","","","","","","","","","","","","","","","","","Kobieta","1991.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","152.94","13.95","","","","18.85","","","","","","","","","","","","","","","","","","","","","","","","","52.39","","","","","","","","","","","","","","","","","","","","","","","","","8.65","","","","","","","","","","","","","10.1","","","","","","","","","","","","","","","","","","","","","","49","","","","",""
"12","2015-10-28 09:01:47","8","pl","2015-10-28 08:59:25","2015-10-28 09:01:47","","","7","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1990.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","140.46","17.67","","","","70.01","","","","","","","","","","","","","","","","","","","","","","","","","21.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.21","","","","",""
"16","2015-10-28 09:17:23","8","pl","2015-10-28 09:15:19","2015-10-28 09:17:23","http://m.facebook.com","","7","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","23.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Tak","120.65","11.67","","","","50.19","","","","","","","","","","","","","","","","","","","","","","","","","15.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.78","","","","",""
