"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","CHAIRMAN_ATTITUDE","ATTITUDE"
"8",8,"",10,NA,"",NA,"","","","","Help","0","0"
"9",9,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"11",11,"1980-01-01 00:00:00",10,NA,"Kobieta",1993,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"28",28,"",9,NA,"",NA,"","","","","Harm","0","0"
"43",43,"",9,NA,"",NA,"","","","","Harm","0","0"
"44",44,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1994,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"55",55,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1996,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"57",57,"",9,NA,"",NA,"","","","","Harm","0","0"
"105",106,"",9,NA,"",NA,"","","","","Harm","0","0"
"106",107,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1995,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"120",121,"1980-01-01 00:00:00",10,NA,"Kobieta",1994,"Średnie","","Nie","Tak","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"124",125,"",10,NA,"",NA,"","","","","Help","0","0"
"127",128,"",10,NA,"",NA,"","","","","Help","0","0"
"132",133,"1980-01-01 00:00:00",10,NA,"Kobieta",1974,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"138",139,"",10,NA,"",NA,"","","","","Help","0","0"
"155",156,"",10,NA,"",NA,"","","","","Help","0","0"
"156",157,"",10,NA,"",NA,"","","","","Help","0","0"
"172",173,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1989,"Wyższe","","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"176",177,"1980-01-01 00:00:00",9,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"182",183,"1980-01-01 00:00:00",9,NA,"Kobieta",1982,"-oth-","Doktor","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"194",195,"1980-01-01 00:00:00",10,NA,"Kobieta",1958,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"215",216,"",10,NA,"",NA,"","","","","Help","0","0"
"224",225,"",10,NA,"",NA,"","","","","Help","0","0"
"227",228,"",10,NA,"",NA,"","","","","Help","0","0"
"232",233,"",10,NA,"",NA,"","","","","Help","0","0"
"240",241,"",9,NA,"",NA,"","","","","Harm","0","0"
"242",243,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1986,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"245",246,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1982,"Wyższe","","Tak","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"263",270,"1980-01-01 00:00:00",10,NA,"Kobieta",1966,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"266",273,"1980-01-01 00:00:00",9,NA,"Kobieta",1986,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"272",279,"1980-01-01 00:00:00",9,NA,"Kobieta",1987,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"293",300,"1980-01-01 00:00:00",10,NA,"Kobieta",1974,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"296",303,"1980-01-01 00:00:00",9,NA,"Kobieta",1980,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"304",311,"",9,NA,"",NA,"","","","","Harm","0","0"
"323",331,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1977,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"394",403,"",10,NA,"",NA,"","","","","Help","0","0"
"395",404,"",10,NA,"",NA,"","","","","Help","0","0"
"405",415,"1980-01-01 00:00:00",10,NA,"Kobieta",1985,"-oth-","podyplomowe","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"408",418,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1987,"Wyższe","","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"415",425,"",9,NA,"",NA,"","","","","Harm","0","0"
"421",431,"1980-01-01 00:00:00",10,NA,"Kobieta",1981,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"423",433,"",9,NA,"",NA,"","","","","Harm","0","0"
"447",457,"1980-01-01 00:00:00",10,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"463",473,"",10,NA,"",NA,"","","","","Help","0","0"
